x,y,made
30.7,15.350000000000001,False
42.9,23.35,False
40.2,25.45,False
17.2,24.15,False
25.1,24.85,True
28.5,34.15,True
40.1,39.25,False
40.2,19.65,False
42.4,27.25,False
25.3,40.05,True
28.3,40.45,False
24.5,41.15,False
24.5,40.75,True
23.9,41.25,True
18.0,23.05,False
24.6,38.35,False
47.1,29.45,False
23.8,41.65,True
11.6,20.15,True
30.4,36.85,False
27.3,40.75,False
23.5,33.85,True
25.3,40.95,True
2.1000000000000014,38.35,False
32.4,22.25,True
24.3,26.05,False
41.5,20.15,False
47.8,41.55,True
26.8,24.85,True
24.7,40.35,False
46.5,29.05,True
47.3,41.75,False
7.699999999999999,22.45,False
23.6,40.25,True
16.3,14.950000000000003,False
23.5,40.55,True
3.3999999999999986,29.45,False
25.1,39.75,False
24.6,40.45,True
9.6,22.05,True
27.2,34.85,False
11.6,36.55,False
8.7,22.85,False
42.6,23.65,False
25.0,42.35,False
41.6,22.05,False
11.7,34.45,True
45.5,29.15,True
35.7,17.65,True
5.399999999999999,27.45,False
32.3,18.05,True
38.3,20.75,True
23.4,41.45,True
31.7,16.35,True
25.4,41.05,False
23.7,40.15,True
2.3999999999999986,31.15,False
47.5,42.95,False
28.0,40.35,True
14.3,43.45,False
25.0,43.75,False
45.1,25.15,True
24.8,40.65,True
24.3,41.95,True
44.8,26.75,True
22.5,39.65,False
24.6,41.55,True
28.8,33.65,True
38.0,34.25,False
24.1,26.05,False
38.1,19.95,True
47.2,36.75,False
47.3,40.25,False
41.4,36.05,True
11.7,19.05,True
30.7,37.55,False
24.8,40.65,True
20.6,25.05,True
43.8,25.55,True
25.0,42.35,False
6.0,25.65,True
22.5,40.65,False
22.6,39.45,True
45.1,25.55,False
35.9,35.05,True
23.1,38.75,False
26.8,40.65,True
24.2,30.45,True
42.8,23.55,False
45.9,28.65,False
37.0,18.65,True
25.3,30.65,True
31.5,33.45,False
17.6,39.95,False
23.7,40.05,True
18.4,40.75,False
27.4,37.65,True
26.3,14.850000000000001,False
25.0,40.05,False
24.7,38.65,False
37.2,19.95,True
24.7,40.65,True
2.0,34.35,True
25.8,40.75,True
25.0,37.75,True
23.7,40.45,False
5.800000000000001,24.75,True
31.3,36.05,False
17.4,16.55,True
38.5,20.95,False
42.9,24.35,False
18.2,29.05,False
25.3,42.05,True
18.7,27.05,False
23.6,23.35,True
8.7,9.75,False
7.600000000000001,9.350000000000001,False
10.5,33.85,False
23.7,30.55,True
25.0,42.35,True
32.9,15.95,False
41.8,22.45,False
33.4,18.15,True
30.8,24.25,True
36.4,16.95,True
2.1000000000000014,36.45,False
21.7,37.95,True
25.5,41.75,True
17.6,24.45,False
22.3,40.75,True
19.5,37.75,False
25.2,28.05,True
25.8,41.35,True
26.9,40.05,False
2.0,41.35,False
39.7,19.45,False
